id_empresa,ciudad,sector,antiguedad_empresa,distancia_centro,productividad,numero_trabajadores,salario_promedio,rotacion_personal,crecimiento_nomina,numero_servicios,indice_formalizacion,indice_digitalizacion,indice_competencia,satisfaccion_servicio,aporte_mensual
1,Bogotá,Hoteles,9.8,52.25,48.1,2,3.53,24.2,-5.4,1,74.3,62.3,31.7,5.7,6119147.0
2,Medellín,Construcción,17.5,58.81,54.2,29,4.09,23.1,2.7,1,60.6,71.5,1.9,6.0,10689409.0
3,Otras,Minas,7.3,71.78,88.7,3,4.87,13.6,0.5,1,80.2,64.2,82.0,6.4,10001511.0
4,Bogotá,Energía,3.4,50.57,65.7,3,4.77,11.7,5.6,1,69.3,66.8,48.1,6.1,8243634.0
5,Medellín,Financiero,22.0,4.93,66.7,5,4.87,6.5,0.9,0,73.7,71.2,47.7,5.8,7935528.0
6,Otras,Comercio,18.5,44.81,49.9,11,2.88,31.5,5.7,0,59.1,54.3,53.8,5.3,6408917.0
7,Bogotá,Hoteles,28.7,52.21,63.2,21,3.26,20.4,10.0,2,78.9,75.7,38.7,6.5,12205693.0
8,Cartagena,Transporte,6.2,66.18,52.7,5,3.2,9.7,7.4,2,62.2,59.1,45.5,7.1,7005307.0
9,Cali,Comercio,12.6,73.23,62.2,11,3.52,23.0,14.7,2,75.4,59.1,6.2,7.0,9603506.0
10,Bucaramanga,Transporte,18.8,76.46,47.7,20,3.56,17.8,10.1,3,64.0,52.4,65.1,6.5,9383890.0
11,Bogotá,Financiero,8.1,15.01,81.6,35,4.09,3.3,-0.4,3,73.4,78.6,50.0,7.5,15155518.0
12,Medellín,Salud,13.5,5.01,66.7,31,3.68,15.4,9.5,2,61.9,72.0,4.8,6.8,12698203.0
13,Bogotá,Agricultura,13.7,13.01,60.6,14,2.86,25.1,0.1,4,67.7,77.6,68.2,7.4,9969656.0
14,Manizales,Comercio,2.5,11.51,49.2,7,3.34,23.6,4.8,2,68.2,49.3,38.1,6.5,6769962.0
15,Bogotá,Comercio,6.9,65.86,57.5,9,3.11,27.5,4.1,1,72.9,62.9,93.3,6.2,7964791.0
16,Medellín,Financiero,11.3,36.7,70.1,6,4.92,0.0,-6.4,2,66.2,73.7,84.3,6.2,9002969.0
17,Cali,Comercio,6.8,31.67,57.4,43,3.02,23.6,-8.8,1,59.0,59.5,29.4,6.3,10934897.0
18,Medellín,Construcción,28.9,45.38,55.1,16,3.91,22.8,9.4,1,69.7,58.9,40.7,5.9,9440864.0
19,Barranquilla,Salud,20.0,70.48,63.6,70,3.78,19.8,9.6,2,72.3,66.2,29.3,6.5,19027189.0
20,Cartagena,Transporte,12.1,48.65,42.4,6,3.93,23.3,3.6,1,61.1,47.0,93.9,5.7,5625667.0
21,Bogotá,Comercio,30.0,55.27,58.4,13,3.95,36.5,-0.7,1,74.9,67.4,9.0,6.2,8982069.0
22,Bogotá,Comercio,5.6,9.09,63.3,2,3.79,25.7,21.0,1,72.0,57.1,7.1,6.2,8096374.0
23,Bogotá,Comercio,9.4,72.05,42.2,5,3.47,30.7,16.8,2,59.8,65.1,83.8,7.6,6610736.0
24,Cali,Manufactura,14.6,22.53,64.3,16,4.73,16.8,10.8,1,64.7,63.9,56.1,7.1,9811903.0
25,Bogotá,Información,5.7,4.83,73.8,26,4.98,13.2,-0.9,3,69.2,68.0,32.2,6.2,13308368.0
26,Otras,Información,5.2,33.57,57.3,30,2.7,17.4,15.0,2,69.7,49.2,9.4,6.5,10424452.0
27,Bogotá,Comercio,6.2,15.02,61.7,5,3.47,33.8,5.7,0,59.2,74.9,84.2,6.1,6627668.0
28,Bogotá,Comercio,51.0,31.03,62.8,24,4.3,25.3,6.6,2,75.3,81.5,65.2,6.4,12690901.0
29,Medellín,Salud,12.9,14.57,75.3,29,4.84,22.4,11.7,3,77.5,77.4,50.0,6.6,15670443.0
30,Barranquilla,Manufactura,13.9,25.44,53.5,80,4.23,12.4,0.7,4,64.1,66.9,32.2,8.5,20496084.0
31,Manizales,Minas,35.1,18.07,68.7,43,4.46,3.6,15.2,4,77.0,60.8,77.1,7.8,18276515.0
32,Barranquilla,Comercio,15.3,13.12,58.3,3,3.54,36.7,1.2,0,67.4,67.8,78.4,5.9,6240586.0
33,Medellín,Comercio,36.4,26.1,70.6,7,3.42,21.6,9.9,0,77.4,72.1,59.6,5.1,10282186.0
34,Medellín,Energía,10.8,78.07,68.9,2,6.34,9.2,-2.1,0,78.0,70.3,37.1,6.4,9829615.0
35,Bogotá,Transporte,22.8,68.53,64.0,18,3.41,26.2,0.1,0,59.3,72.2,56.2,5.7,8639458.0
36,Medellín,Información,21.1,58.23,69.6,10,4.84,13.9,17.7,0,79.7,73.2,79.1,6.5,11161977.0
37,Cali,Salud,15.4,13.7,67.7,25,4.97,15.2,0.8,2,70.5,64.0,36.0,7.3,12914088.0
38,Medellín,Agricultura,9.3,52.29,53.9,14,3.38,21.5,9.1,1,62.4,64.8,5.1,7.1,8088305.0
39,Bogotá,Hoteles,8.6,59.25,61.3,8,3.12,25.8,-0.1,1,64.2,68.1,23.8,6.2,7188292.0
40,Medellín,Comercio,2.8,15.67,52.6,11,3.45,23.5,17.4,1,66.1,71.6,31.0,6.0,8094425.0
41,Cartagena,Información,6.8,63.66,57.8,13,4.6,10.8,1.3,0,72.0,69.2,10.7,6.1,8813844.0
42,Bogotá,Manufactura,7.5,56.88,60.2,11,3.97,16.6,8.9,3,70.3,73.3,43.7,7.1,9601340.0
43,Bogotá,Transporte,8.6,41.92,47.5,61,4.56,29.0,4.8,3,50.4,62.0,18.0,7.1,17134752.0
44,Bogotá,Hoteles,13.4,7.92,46.8,13,2.8,29.4,9.4,0,44.5,53.0,56.5,6.7,5687620.0
45,Bogotá,Construcción,7.5,77.19,60.8,9,4.99,18.3,14.3,1,68.1,69.1,80.0,4.9,9158447.0
46,Bogotá,Manufactura,7.0,68.48,67.1,12,4.41,18.6,6.7,0,65.7,79.7,13.7,5.6,9392105.0
47,Barranquilla,Comercio,4.2,6.62,45.2,16,3.26,25.8,-1.6,1,61.7,52.9,83.1,6.5,7169317.0
48,Barranquilla,Manufactura,13.0,60.84,68.7,138,4.73,13.6,8.0,1,67.3,62.7,98.8,6.0,33848878.0
49,Pereira,Transporte,18.7,39.16,61.4,16,4.0,20.5,14.6,0,59.2,56.3,44.7,6.0,9067832.0
50,Bogotá,Manufactura,19.7,20.7,61.7,25,5.15,9.2,-2.3,1,57.8,73.9,42.4,4.8,11544723.0
51,Bogotá,Salud,4.8,12.8,58.1,12,4.68,9.4,-1.2,3,66.7,65.8,96.4,7.9,9023638.0
52,Otras,Comercio,25.0,40.06,45.6,15,3.74,22.7,8.6,1,59.8,54.9,83.3,6.2,7708674.0
53,Bogotá,Financiero,2.6,17.99,77.7,14,5.28,15.1,-0.7,1,81.3,79.7,11.0,5.8,11984552.0
54,Medellín,Manufactura,2.7,68.84,60.0,8,4.23,20.9,13.0,2,64.0,68.0,70.7,7.7,8661487.0
55,Bogotá,Comercio,2.2,32.98,51.2,10,4.39,32.2,2.6,1,54.2,62.6,77.3,5.9,6828634.0
56,Cali,Comercio,20.3,51.14,54.7,8,3.84,16.0,-0.5,1,60.8,66.1,0.2,6.4,7282693.0
57,Otras,Manufactura,12.4,69.57,60.6,32,4.35,17.2,6.3,1,78.2,54.5,41.6,5.9,12831363.0
58,Medellín,Manufactura,18.5,19.26,66.4,11,4.81,24.4,4.0,4,70.8,71.7,84.6,6.9,10439299.0
59,Medellín,Hoteles,21.1,40.07,46.4,18,3.88,24.9,3.0,1,63.7,65.3,23.5,6.5,8407269.0
60,Cali,Comercio,3.2,50.85,51.3,5,3.89,27.1,14.0,0,48.6,56.5,74.8,5.6,5400728.0
61,Barranquilla,Minas,6.9,51.89,59.7,41,4.71,12.3,9.4,1,72.4,58.3,10.4,6.3,14890981.0
62,Cali,Comercio,2.9,4.25,49.0,14,4.32,32.2,10.0,1,63.2,63.2,27.0,7.0,8311421.0
63,Cali,Comercio,5.4,78.3,50.0,4,4.0,40.8,3.7,1,54.9,67.4,77.1,5.1,5776725.0
64,Bogotá,Manufactura,6.1,44.87,57.1,35,3.77,14.4,3.4,4,66.8,66.4,80.0,7.3,13033576.0
65,Otras,Manufactura,20.5,58.91,59.5,7,4.32,22.3,5.9,0,76.7,60.4,31.1,6.2,8138397.0
66,Cali,Profesionales,17.5,76.55,72.2,20,3.51,17.1,-0.8,2,75.1,76.4,96.2,7.0,11497444.0
