id_empresa;nit;sector;antiguedad;tiempo_afiliacion;num_trabajadores;crecimiento_empleo;uso_servicios;satisfaccion;rotacion;salario_promedio;digitalizacion;formalizacion;distancia;abandono
1;903373228;Manufactura;2.8;1.5;14;-5.0;3;57.6;27.2;3.13;37.0;43.4;26.6;1
2;904494741;Manufactura;13.3;8.1;5;1.0;6;71.4;14.3;3.97;86.9;64.9;0.6;0
3;867433090;Tecnología;50.0;44.4;60;9.7;4;57.9;10.7;3.64;51.2;66.7;2.3;0
4;843731818;Servicios;7.0;4.4;15;8.8;5;84.8;9.4;1.54;73.7;63.4;4.9;0
5;864648907;Servicios;9.5;8.0;48;4.1;4;72.3;11.1;3.87;60.6;94.9;23.3;0
6;852884876;Comercio;3.6;1.4;101;-8.3;4;78.8;11.6;1.98;51.6;55.0;2.5;0
7;814888534;Servicios;9.8;2.4;5;16.4;7;84.1;26.3;4.13;71.9;64.7;6.1;0
8;906323092;Servicios;3.6;1.2;106;8.6;5;73.6;17.3;2.28;40.2;57.4;1.2;0
9;945969369;Transporte;7.0;6.8;13;-9.1;3;65.6;14.1;4.2;52.4;54.9;16.6;1
10;871479868;Manufactura;11.3;11.2;111;0.6;1;35.4;42.9;3.8;50.9;52.5;11.2;1
11;835245472;Comercio;8.8;2.7;32;4.1;5;63.6;21.6;2.4;48.1;41.8;0.9;0
12;876657154;Manufactura;4.9;3.0;19;-12.9;5;58.3;27.9;5.02;48.4;41.2;5.5;1
13;897586910;Comercio;36.9;33.9;9;14.5;4;47.7;11.5;3.07;62.2;67.2;0.3;0
14;838127360;Comercio;6.5;2.6;12;-11.3;4;54.6;16.8;5.9;50.3;56.2;1.1;1
15;815138036;Tecnología;11.3;11.1;12;-20.7;6;58.3;7.7;3.11;72.4;56.9;14.9;0
16;848946626;Servicios;6.4;3.1;24;9.7;5;80.7;7.7;3.11;66.2;55.5;7.7;0
17;905433000;Manufactura;13.8;6.9;24;24.2;9;89.1;18.0;2.31;58.3;71.0;35.1;0
18;826770204;Servicios;16.4;4.4;131;-8.8;6;61.8;1.6;1.99;72.2;73.9;7.6;0
19;859568237;Servicios;8.6;7.7;17;12.0;7;66.6;13.3;2.89;37.7;62.8;0.8;0
20;965574271;Comercio;9.9;4.2;109;-19.7;5;68.7;21.8;2.3;88.1;76.9;3.5;0
21;845164735;Construcción;21.4;12.6;62;-5.2;6;73.6;3.7;1.79;38.3;41.1;15.7;0
22;889856640;Manufactura;2.7;2.7;15;4.8;5;57.1;17.6;3.12;72.3;77.9;7.0;0
23;864459550;Servicios;8.3;2.9;68;22.0;5;77.3;13.2;3.04;70.0;57.4;27.5;0
24;924420411;Servicios;24.9;17.1;17;2.2;9;69.8;18.9;1.57;80.4;69.0;5.7;0
